efSearch,search_time,accuracy
10,0.0005629062652587891,0.8
10,0.0006244182586669922,0.0
10,0.0006194114685058594,0.6
10,0.0007245540618896484,0.8
10,0.0005204677581787109,1.0
10,0.00046634674072265625,1.0
10,0.0006885528564453125,1.0
10,0.0005512237548828125,1.0
10,0.0006406307220458984,0.6
10,0.0006086826324462891,1.0
10,0.0005924701690673828,0.8
10,0.0009570121765136719,1.0
10,0.000698089599609375,0.6
10,0.0007503032684326172,1.0
10,0.0005557537078857422,0.4
10,0.0006103515625,1.0
10,0.0007731914520263672,1.0
10,0.0005178451538085938,0.8
10,0.0007126331329345703,1.0
10,0.0006837844848632812,0.0
10,0.0004980564117431641,1.0
10,0.0009598731994628906,1.0
10,0.0005309581756591797,1.0
10,0.0005626678466796875,1.0
10,0.0006754398345947266,1.0
10,0.0006051063537597656,1.0
10,0.0007190704345703125,0.6
10,0.0007276535034179688,1.0
10,0.0006411075592041016,1.0
10,0.0005702972412109375,1.0
10,0.0005660057067871094,1.0
10,0.0005562305450439453,1.0
10,0.0005834102630615234,1.0
10,0.000820159912109375,1.0
10,0.0009479522705078125,0.0
10,0.0005371570587158203,0.0
10,0.0010571479797363281,0.8
10,0.00051116943359375,1.0
10,0.0006098747253417969,1.0
10,0.000743865966796875,0.6
10,0.0008575916290283203,0.8
10,0.0006594657897949219,0.8
10,0.000492095947265625,0.0
10,0.0007376670837402344,0.8
10,0.0005495548248291016,0.8
10,0.0005252361297607422,1.0
10,0.0005986690521240234,1.0
10,0.0007338523864746094,0.8
10,0.000579833984375,0.8
10,0.0006546974182128906,1.0
10,0.0006382465362548828,0.0
10,0.0005295276641845703,1.0
10,0.0005819797515869141,1.0
10,0.0008165836334228516,1.0
10,0.0007739067077636719,0.0
10,0.0009362697601318359,1.0
10,0.0005099773406982422,1.0
10,0.0005919933319091797,0.0
10,0.0006804466247558594,1.0
10,0.0006229877471923828,1.0
10,0.0006244182586669922,1.0
10,0.0005738735198974609,0.6
10,0.0006346702575683594,0.6
10,0.0011627674102783203,1.0
10,0.0005004405975341797,0.0
10,0.0006995201110839844,0.8
10,0.0006189346313476562,1.0
10,0.0008215904235839844,1.0
10,0.0007970333099365234,1.0
10,0.000591278076171875,1.0
10,0.0006039142608642578,1.0
10,0.0006670951843261719,1.0
10,0.0006759166717529297,0.8
10,0.0006897449493408203,1.0
10,0.0007076263427734375,0.0
10,0.0006248950958251953,1.0
10,0.00047969818115234375,0.8
10,0.0006625652313232422,1.0
10,0.0007047653198242188,1.0
10,0.0006058216094970703,1.0
10,0.0006058216094970703,0.8
10,0.0006055831909179688,1.0
10,0.0006148815155029297,1.0
10,0.0006268024444580078,1.0
10,0.0006816387176513672,1.0
10,0.000640869140625,0.0
10,0.0007162094116210938,0.2
10,0.0005822181701660156,0.0
10,0.0006918907165527344,0.8
10,0.0008707046508789062,1.0
10,0.0011742115020751953,0.8
10,0.0006163120269775391,1.0
10,0.0005717277526855469,1.0
10,0.0005810260772705078,0.0
10,0.0006172657012939453,1.0
10,0.0006189346313476562,0.6
10,0.0005083084106445312,0.2
10,0.0005903244018554688,1.0
10,0.0005755424499511719,1.0
10,0.0006885528564453125,1.0
10,0.0005877017974853516,0.0
10,0.0005385875701904297,0.8
10,0.0005786418914794922,1.0
10,0.0006163120269775391,1.0
10,0.0005602836608886719,1.0
10,0.0006177425384521484,0.0
10,0.0005590915679931641,0.0
10,0.0006830692291259766,0.4
10,0.0007612705230712891,1.0
10,0.0006976127624511719,0.8
10,0.0006670951843261719,1.0
10,0.0007021427154541016,0.0
10,0.0005381107330322266,1.0
10,0.0005712509155273438,0.6
10,0.0008902549743652344,1.0
10,0.0005841255187988281,1.0
10,0.0010895729064941406,1.0
10,0.0005891323089599609,1.0
10,0.0005340576171875,0.8
10,0.0008270740509033203,0.6
10,0.0006151199340820312,0.0
10,0.00079345703125,1.0
10,0.0005698204040527344,1.0
10,0.0005323886871337891,0.6
10,0.0009658336639404297,1.0
10,0.0009219646453857422,0.6
10,0.0006411075592041016,1.0
10,0.0006744861602783203,1.0
10,0.0006673336029052734,0.6
10,0.00077056884765625,1.0
10,0.0006544589996337891,1.0
10,0.0006034374237060547,1.0
10,0.0008933544158935547,0.8
10,0.0006601810455322266,0.2
10,0.0008120536804199219,0.8
10,0.0005614757537841797,1.0
10,0.0006735324859619141,1.0
10,0.0005466938018798828,1.0
10,0.0006799697875976562,0.0
10,0.0010943412780761719,1.0
10,0.0006742477416992188,0.8
10,0.0006074905395507812,1.0
10,0.0005567073822021484,1.0
10,0.0005605220794677734,1.0
10,0.0008263587951660156,0.8
10,0.0006196498870849609,1.0
10,0.0006978511810302734,0.8
10,0.0005905628204345703,1.0
10,0.0005741119384765625,1.0
10,0.0006518363952636719,1.0
10,0.0007145404815673828,1.0
10,0.0007793903350830078,0.8
10,0.0012538433074951172,0.2
10,0.0007238388061523438,0.6
10,0.0005588531494140625,1.0
10,0.0008492469787597656,1.0
10,0.0006422996520996094,1.0
10,0.0005829334259033203,0.6
10,0.0006184577941894531,0.2
10,0.0006284713745117188,0.8
10,0.0006020069122314453,1.0
10,0.0006206035614013672,0.0
10,0.0006132125854492188,1.0
10,0.0005693435668945312,0.8
10,0.0005819797515869141,1.0
10,0.0008196830749511719,1.0
10,0.0005810260772705078,1.0
10,0.000560760498046875,0.8
10,0.000644683837890625,0.0
10,0.0006515979766845703,1.0
10,0.0005412101745605469,0.0
